역사명,역위도,역경도,geometry
명일역,37.55149734,127.1439883,POINT (127.1439883 37.55149734)
목동역,37.52586671,126.8645757,POINT (126.8645757 37.52586671)
몽촌토성역,37.51742473,127.11239209999998,POINT (127.1123921 37.51742473)
무악재역,37.58211864,126.9501814,POINT (126.9501814 37.58211864)
문래역,37.51779736,126.8945439,POINT (126.8945439 37.51779736)
문정역,37.4859849,127.1222272,POINT (127.1222272 37.4859849)
미아사거리역,37.61325241,127.0298981,POINT (127.0298981 37.61325241)
미아역,37.62657144,127.0258287,POINT (127.0258287 37.62657144)
반포역,37.50820769,127.011532,POINT (127.011532 37.50820769)
발산역,37.55848385,126.837456,POINT (126.837456 37.55848385)
방배역,37.48130245,126.997636,POINT (126.997636 37.48130245)
방이역,37.50865738,127.1260716,POINT (127.1260716 37.50865738)
방학역,37.667471,127.044295,POINT (127.044295 37.667471)
방화역,37.57729066,126.8127115,POINT (126.8127115 37.57729066)
버티고개역,37.54806951,127.0066086,POINT (127.0066086 37.54806951)
보라매역,37.49989004,126.92030520000002,POINT (126.9203052 37.49989004)
보문역,37.58543035,127.0192192,POINT (127.0192192 37.58543035)
복정역,37.47008981,127.1264714,POINT (127.1264714 37.47008981)
봉은사역,37.51436096,127.0608922,POINT (127.0608922 37.51436096)
봉천역,37.48245978,126.9418478,POINT (126.9418478 37.48245978)
봉화산역,37.61747193,127.0910857,POINT (127.0910857 37.61747193)
북한산보국문역,37.61243695,127.00807890000002,POINT (127.0080789 37.61243695)
북한산우이역,37.66303074,127.0127525,POINT (127.0127525 37.66303074)
불광역,37.61023354,126.9297281,POINT (126.9297281 37.61023354)
사가정역,37.58101455,127.0884688,POINT (127.0884688 37.58101455)
사당역,37.4767992,126.9815245,POINT (126.9815245 37.4767992)
사평역,37.50471183,127.0147268,POINT (127.0147268 37.50471183)
삼각지역,37.53473506,126.97340425,POINT (126.97340425 37.53473506)
삼성역,37.5086936,127.06316499999998,POINT (127.063165 37.5086936)
삼성중앙역,37.51288248,127.052705,POINT (127.052705 37.51288248)
삼양사거리역,37.62145145,127.0205606,POINT (127.0205606 37.62145145)
삼양역,37.62709192,127.0181425,POINT (127.0181425 37.62709192)
삼전역,37.50474464,127.0877814,POINT (127.0877814 37.50474464)
상계역,37.66090497,127.0731287,POINT (127.0731287 37.66090497)
상도역,37.50285237,126.9477417,POINT (126.9477417 37.50285237)
상봉역,37.59566746,127.0856196,POINT (127.0856196 37.59566746)
상수역,37.54776978,126.9225838,POINT (126.9225838 37.54776978)
상왕십리역,37.56417104,127.0293524,POINT (127.0293524 37.56417104)
상월곡역,37.60632242,127.0485887,POINT (127.0485887 37.60632242)
상일동역,37.55658759,127.1652632,POINT (127.1652632 37.55658759)
새절역,37.59099413,126.9136601,POINT (126.9136601 37.59099413)
샛강역,37.51774504,126.9278221,POINT (126.9278221 37.51774504)
서강대역,37.552132,126.935389,POINT (126.935389 37.552132)
서대문역,37.56573781,126.9665864,POINT (126.9665864 37.56573781)
서빙고역,37.51961,126.988358,POINT (126.988358 37.51961)
서울대입구역,37.48103059,126.9526269,POINT (126.9526269 37.48103059)
서울숲역,37.543647,127.044686,POINT (127.044686 37.543647)
서울역,37.55467714666667,126.9719143,POINT (126.9719143 37.55467714666667)
서초역,37.49178284,127.0075972,POINT (127.0075972 37.49178284)
석계역,37.615094615,127.06557759999998,POINT (127.0655776 37.615094615)
석촌고분역,37.50202826,127.09662240000002,POINT (127.0966224 37.50202826)
석촌역,37.505650195,127.10663805,POINT (127.10663805 37.505650195)
선릉역,37.504428975,127.0488188,POINT (127.0488188 37.504428975)
선유도역,37.53812871,126.8938841,POINT (126.8938841 37.53812871)
선정릉역,37.510564275,127.04372899999998,POINT (127.043729 37.510564275)
성수역,37.5444338,127.0559893,POINT (127.0559893 37.5444338)
성신여대입구역,37.5927377,127.0163071,POINT (127.0163071 37.5927377)
솔밭공원역,37.65617539,127.0133209,POINT (127.0133209 37.65617539)
솔샘역,37.62040195,127.0134814,POINT (127.0134814 37.62040195)
송정역,37.56115795,126.811792,POINT (126.811792 37.56115795)
송파나루역,37.51012026,127.11312340000002,POINT (127.1131234 37.51012026)
송파역,37.4997227,127.1118647,POINT (127.1118647 37.4997227)
수락산역,37.67791554,127.05523429999998,POINT (127.0552343 37.67791554)
수색역,37.580855,126.895681,POINT (126.895681 37.580855)
수서역,37.487397785,127.1013355,POINT (127.1013355 37.487397785)
수유역,37.63796529,127.0254433,POINT (127.0254433 37.63796529)
숙대입구역,37.54467788,126.9719943,POINT (126.9719943 37.54467788)
숭실대입구역,37.4961804,126.9534722,POINT (126.9534722 37.4961804)
시청역,37.564667580000005,126.97641885,POINT (126.97641885 37.56466758000001)
신금호역,37.55440938,127.0205515,POINT (127.0205515 37.55440938)
신길역,37.517222275,126.91714299999998,POINT (126.917143 37.517222275)
신내역,37.61274817499999,127.103336,POINT (127.103336 37.61274817499999)
신논현역,37.50493676,127.0254336,POINT (127.0254336 37.50493676)
신답역,37.56961893,127.0468598,POINT (127.0468598 37.56961893)
신당역,37.56582912,127.0181023,POINT (127.0181023 37.56582912)
신대방삼거리역,37.49968797,126.9280519,POINT (126.9280519 37.49968797)
