자치구,안심 주소,CCTV 용도,WGS x좌표,WGS y좌표,CCTV 수량,수정 일시
중랑구,서울특별시 중랑구 상봉동 상봉중앙로 52 ,방범,37.60166931,127.0884094,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 용마산로 399 신일유치원,방범,37.5871582,127.0951538,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 용마산로100길 33 자연을담은집,방범,37.59165192,127.1002197,3,2021-01-12
중랑구,서울특별시 중랑구 중화동 중랑역로 16 ,방범,37.59674382,127.0763853,2,2021-01-12
중랑구,서울특별시 중랑구 면목동 용마산로94가길 3 ,방범,37.58817291,127.0978928,2,2021-01-12
중랑구,서울특별시 중랑구 상봉동 봉화산로 109 ,방범,37.60342026,127.0861282,1,2021-01-12
중랑구,서울특별시 중랑구 면목동 동일로101길 78 ,방범,37.58889771,127.0752029,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 겸재로 73 요리여행도서당,방범,37.58532715,127.0767365,2,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로35길 33 ,방범,37.57810018,127.0835851,4,2021-01-12
중랑구,서울특별시 중랑구 면목동 겸재로40길 71 ,방범,37.58426666,127.0877838,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 사가정로 358 ,방범,37.58006142,127.0845604,3,2021-01-12
중랑구,서울특별시 중랑구 중화동 중랑역로13길 18 ,방범,37.59682846,127.0730286,1,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로139길 39 ,방범,37.60249428,127.0769378,1,2021-01-12
중랑구,서울특별시 중랑구 면목동 봉우재로 172 ,방범,37.59381126,127.0927863,2,2021-01-12
중랑구,서울특별시 중랑구 신내동 용마산로125길 62 ,방범,37.60214267,127.0989208,1,2021-01-12
중랑구,서울특별시 중랑구 면목동 답십리로75길 36 연세피아노,방범,37.57325104,127.0812431,1,2021-01-12
중랑구,서울특별시 중랑구 면목동 사가정로 415 ,방범,37.58095468,127.0914603,1,2021-01-12
중랑구,서울특별시 중랑구 망우동 용마산로100길 82 ,도심공원,37.58941436,127.1025137,2,2021-01-12
중랑구,묵1동 10-6(보조1),방범,37.61787056,127.0870497,1,2021-01-12
중랑구,서울특별시 중랑구 면목동 중랑천로 64 ,도심공원,37.59183076,127.0739006,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 동일로 689 (주)근영,방범,37.59270064,127.0798847,2,2021-01-12
중랑구,서울특별시 중랑구 망우동 봉우재로71길 53 ,방범,37.59697342,127.096283,2,2021-01-12
중랑구,서울특별시 중랑구 묵동 신내로23길 57 원묵중학교,방범,37.6182495,127.0845989,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 겸재로 211 기아자동차,방범,37.58937836,127.0915985,4,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로123길 99 세종에코그린,방범,37.59947491,127.0747299,4,2021-01-12
중랑구,서울특별시 중랑구 상봉동 상봉중앙로8나길 33 ,방범,37.60110092,127.0911179,3,2021-01-12
중랑구,서울특별시 중랑구 상봉동 동일로120길 121 ,방범,37.5978241,127.0867615,3,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로129길 56 함경상회,방범,37.60078125,127.0761662,1,2021-01-12
중랑구,서울특별시 중랑구 면목동 겸재로 193 ,방범,37.58889379,127.0893987,2,2021-01-12
중랑구,서울특별시 중랑구 신내동 신내로15길 143 ,도심공원,37.61423492,127.08918,4,2021-01-12
중랑구,서울특별시 중랑구 상봉동 망우로55길 69 상봉연립,방범,37.60093503,127.0951839,1,2021-01-12
중랑구,서울특별시 중랑구 묵동 중랑역로 185 ,방범,37.61095873,127.0750611,4,2021-01-12
중랑구,면목7동 1084-9(고정1),도심공원,37.58037674,127.093241,3,2021-01-12
중랑구,서울특별시 중랑구 상봉동 망우로 216 ,방범,37.59373754,127.0778885,1,2021-01-12
중랑구,서울특별시 중랑구 망우동 양원역로 7 ,방범,37.60112546,127.1070118,1,2021-01-12
중랑구,서울특별시 중랑구 신내동 신내로15길 110 봉화초등학교,방범,37.61347961,127.0912247,3,2021-01-12
중랑구,서울특별시 중랑구 상봉동 상봉중앙로5가길 14 ,방범,37.60183162,127.0861195,2,2021-01-12
중랑구,서울특별시 중랑구 신내동 신내역로1길 142 우디안3단지,도심공원,37.61703491,127.1105042,1,2021-01-12
중랑구,서울특별시 중랑구 상봉동 상봉중앙로8나길 33 ,방범,37.60187426,127.0914743,4,2021-01-12
중랑구,서울특별시 중랑구 묵동 공릉로 50 ,방범,37.61572266,127.078949,4,2021-01-12
중랑구,망우본동 산 56 (망우로 중랑캠핑숲 입구),방범,37.60121865,127.1133841,4,2021-01-12
중랑구,서울특별시 중랑구 신내동 신내로 8 ,방범,37.60021867,127.0977938,2,2021-01-12
중랑구,서울특별시 중랑구 중화동 망우로 165 ,방범,37.59379962,127.0714586,2,2021-01-12
중랑구,서울특별시 중랑구 중화동 중랑천로 123 ,방범,37.5968132,127.071022,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로70길 59 ,방범,37.59623869,127.103383,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로 476 ,방범,37.60080488,127.1059869,2,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로 467 ,방범,37.60042235,127.1048187,2,2021-01-12
중랑구,신내1동 817-4 (신내3단지 능말공원 #2),도심공원,37.61590958,127.1078644,1,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로27가길 17 ,방범,37.57659531,127.0838776,5,2021-01-12
중랑구,서울특별시 중랑구 면목동 사가정로 409 대도빌딩,방범,37.58006836,127.0908408,2,2021-01-12
중랑구,서울특별시 중랑구 면목동 용마산로 248 ,방범,37.57533638,127.0884181,3,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로70길 55 ,방범,37.59793725,127.1034561,3,2021-01-12
중랑구,서울특별시 중랑구 면목동 면목로 437 ,방범,37.59194941,127.0863121,2,2021-01-12
중랑구,서울특별시 중랑구 망우동 망우로 494 ,방범,37.59997064,127.1069956,2,2021-01-12
중랑구,서울특별시 중랑구 묵동 동일로 893 ,방범,37.61075756,127.0775504,4,2021-01-12
중랑구,서울특별시 중랑구 중화동 동일로130길 77 ,방범,37.60045242,127.0845947,2,2021-01-12
중랑구,신내2동 665 (신현초교정문),방범,37.60595882,127.0941573,4,2021-01-12
