지방청,경찰서,관서명,구분,주소,파출소명,lat,lon
서울청,서울동대문,청량리,파출소,서울특별시 동대문구 약령시로21길 15,청량리파출소,37.584076927,127.045257072
서울청,서울동대문,제기,파출소,서울특별시 동대문구 약령시로 17길 59-11,제기파출소,37.585581930,127.042030574
서울청,서울동대문,전농1,파출소,서울특별시 동대문구 서울시립대로 56,전농1파출소,37.576118907,127.047927008
서울청,서울동대문,전농2,파출소,서울특별시 동대문구 전농로38다길 21,전농2파출소,37.586373058,127.054229249
서울청,서울동대문,장안1,파출소,서울특별시 동대문구 한천로20길 7,장안1파출소,37.5696435,127.06493
서울청,서울동대문,장안2,파출소,서울특별시 동대문구  답십리로 69길 100,장안2파출소,37.576767469,127.074412740
서울청,서울동대문,이문,지구대,서울특별시 동대문구  한천로 402,이문지구대,37.596589598,127.068135413
서울청,서울동대문,휘경,파출소,서울특별시 동대문구  한천로 266,휘경파출소,37.584640197,127.068031009
서울청,서울동대문,회기,파출소,서울특별시 동대문구  회기로18길 2,회기파출소,37.591077515,127.051842770
서울청,서울마포,서강,지구대,"서울특별시 마포구  독막로22길 8(창전동, 서강지구대)",서강지구대,37.547347057,126.929312078
서울청,서울마포,공덕,지구대,서울특별시 마포구 마포대로 195-1,공덕지구대,37.551801324,126.954039005
서울청,서울마포,월드컵,지구대,서울특별시 마포구  월드컵북로 30길 24,월드컵지구대,37.568731693,126.909082304
서울청,서울마포,홍익,지구대,서울특별시 마포구  양화로11길 63,홍익지구대,37.551876160,126.913462429
서울청,서울마포,용강,지구대,서울특별시 마포구 토정로31길 35,용강지구대,37.542561681,126.943083303
서울청,서울마포,상암,파출소,서울특별시 마포구  매봉산로 76,상암파출소,37.578240760,126.893857113
서울청,서울마포,망원,파출소,서울특별시 마포구  망원로2길 63,망원파출소,37.554340926,126.902734266
서울청,서울마포,연남,파출소,서울특별시 마포구  연남로 4,연남파출소,37.560327606,126.923746189
서울청,서울영등포,중앙,지구대,서울특별시 영등포구  영등포로46길 14,중앙지구대,37.518010159,126.907513935
서울청,서울영등포,여의도,지구대,서울특별시 영등포구  여의공원로 120 여의도지구대,여의도지구대,37.529624593,126.926688988
서울청,서울영등포,문래,지구대,서울특별시 영등포구  경인로 759,문래지구대,37.513582292,126.897649943
서울청,서울영등포,신풍,지구대,서울특별시 영등포구 신길동 4533-16,신풍지구대,37.499109,126.9127556
서울청,서울영등포,신길,지구대,서울특별시 영등포구  신길로60다길 16 ,신길지구대,37.513509567,126.914110408
서울청,서울영등포,양평,파출소,서울특별시 영등포구  선유로 95,양평파출소,37.522721788,126.889694659
서울청,서울영등포,당산,지구대,서울특별시 영등포구  당산로 221,당산지구대,37.533607672,126.901263568
서울청,서울영등포,대림,지구대,서울특별시 영등포구  대림로23길 16-1,대림지구대,37.493430770,126.898702599
서울청,서울영등포,대림3,파출소,서울특별시 영등포구 대림로 197,대림3파출소,37.498282707,126.898035571
서울청,서울영등포,영등포역,파출소,서울특별시 영등포구 경인로102길 13,영등포역파출소,37.5136038,126.9010001
서울청,서울성동,한양,지구대,서울특별시 성동구  사근동길 5,한양지구대,37.560301548,127.041794431
서울청,서울성동,성수,지구대,서울특별시 성동구  광나루로2길 35 성수지구대,성수지구대,37.548218899,127.055247828
서울청,서울성동,서울숲,지구대,서울특별시 성동구  성덕정길 77-2,서울숲지구대,37.538053524,127.052272851
서울청,서울성동,왕십리,파출소,서울특별시 성동구  마장로 205,왕십리파출소,37.566668969,127.032658319
서울청,서울성동,행당,파출소,서울특별시 성동구  행당로 89,행당파출소,37.557430330,127.028855300
서울청,서울성동,옥수,파출소,서울특별시 성동구  독서당로 211,옥수파출소,37.543831070,127.014339108
서울청,서울성동,금호,파출소,서울특별시 성동구  금호로11길 2-1,금호파출소,37.554791276,127.019574284
서울청,서울성동,응봉,파출소,서울특별시 성동구  독서당로 373 응봉파출소,응봉파출소,37.549800084,127.030022944
서울청,서울성동,용답,파출소,서울특별시 성동구  용답중앙길 49 용답파출소,용답파출소,37.564783019,127.051758947
서울청,서울동작,사당,지구대,서울특별시 동작구  동작대로9길 35,사당지구대,37.480543955,126.979530210
서울청,서울동작,노량진,지구대,서울특별시 동작구  등용로12나길 2,노량진지구대,37.511154837,126.933289985
서울청,서울동작,상도,지구대,서울특별시 동작구  등용로 24 ,상도지구대,37.505929641,126.936195106
서울청,서울동작,남성,지구대,서울특별시 동작구 사당로17나길 4,남성지구대,37.484116761,126.973254173
서울청,서울동작,흑석,지구대,서울특별시 동작구 노량진로 248,흑석지구대,37.512389251,126.953643769
서울청,서울동작,신대방,지구대,서울특별시 동작구 신대방1다길 24,신대방지구대,37.486647866,126.905944956
서울청,서울동작,대방,파출소,서울특별시 동작구 여의대방로 130,대방파출소,37.498570256,126.920569938
서울청,서울광진,광나루,지구대,서울특별시 광진구 아차산로 567,광나루지구대,37.544455073,127.103316707
서울청,서울광진,화양,지구대,서울특별시 광진구  능동로17길 39 화양지구대,화양지구대,37.546526759,127.071267590
서울청,서울광진,중곡1,파출소,서울특별시 광진구 능동로 385,중곡1파출소,37.563720159,127.082788706
서울청,서울광진,중곡2,파출소,서울특별시 광진구  능동로 346,중곡2파출소,37.560266404,127.081499634
서울청,서울광진,중곡3,파출소,서울특별시 광진구 동일로76가길 28,중곡3파출소,37.568830524,127.080140663
서울청,서울광진,중곡4,파출소,서울특별시 광진구  용마산로24길 7,중곡4파출소,37.565353982,127.087274909
서울청,서울광진,자양,파출소,서울특별시 광진구 뚝섬로36길 9,자양파출소,37.533855507,127.071612605
서울청,서울광진,자양1,파출소,서울특별시 광진구  자양번영로 80,자양1파출소,37.536620520,127.076922315
서울청,서울광진,자양4,파출소,서울특별시 광진구  뚝섬로22가길 43번지 자양4파출소,자양4파출소,37.535182249,127.063634211
서울청,서울광진,구의,파출소,서울특별시 광진구 광나루로 43길 26 구의파출소,구의파출소,37.545776,127.0908711
서울청,서울서부,응암,지구대,서울특별시 은평구  은평로 171,응암지구대,37.601634687,126.926445891
서울청,서울서부,신사,지구대,서울특별시 은평구  은평터널로5길 6호,신사지구대,37.591762783,126.904638389
서울청,서울서부,녹번,파출소,서울특별시 은평구  진흥로 진흥로200,녹번파출소,37.608822200,126.931839131
서울청,서울서부,응암3,파출소,서울특별시 은평구  응암로 208 ,응암3파출소,37.590529703,126.917541641
서울청,서울서부,역촌,파출소,서울특별시 은평구  연서로 61,역촌파출소,37.604588707,126.915065757
서울청,서울강북,미아,지구대,서울특별시 강북구 도봉로 127,미아지구대,37.620156312,127.028265155
서울청,서울강북,솔샘,지구대,서울특별시 강북구 오현로 4,솔샘지구대,37.616314769,127.030410328
서울청,서울강북,수유1,파출소,서울특별시 강북구  삼양로 305,수유1파출소,37.630675919,127.017583582
서울청,서울강북,수유2,파출소,서울특별시 강북구 삼각산로 115,수유2파출소,37.640929018,127.017094112
서울청,서울강북,수유3,파출소,서울특별시 강북구  한천로150길 76,수유3파출소,37.644336419,127.026585432
서울청,서울강북,인수,파출소,서울특별시 강북구 인수봉로 227,인수파출소,37.639441595,127.012403493
서울청,서울강북,번동,파출소,서울특별시 강북구  한천로 969,번동파출소,37.635949517,127.032586484
서울청,서울강북,번3,파출소,서울특별시 강북구  월계로 227,번3파출소,37.623625457,127.048129991
서울청,서울강북,삼양,파출소,서울특별시 강북구  삼양로 239-1,삼양파출소,37.624802775,127.018225046
서울청,서울금천,금천,파출소,서울특별시 금천구 시흥대로57길 45,금천파출소,37.454228307,126.899821164
서울청,서울금천,문성,지구대,서울특별시 금천구  독산로 76길 20,문성지구대,37.469535398,126.903461600
서울청,서울금천,백산,지구대,서울특별시 금천구  탑골로2길 37 백산지구대,백산지구대,37.451033921,126.912591970
서울청,서울금천,가산,파출소,서울특별시 금천구  벚꽃로56길 174,가산파출소,37.479938341,126.888055552
서울청,서울금천,독산,파출소,서울특별시 금천구  벚꽃로10길 89,독산파출소,37.464644566,126.894757133
서울청,서울중랑,망우,지구대,서울특별시 중랑구  망우로 391,망우지구대,37.599106766,127.095647601
서울청,서울중랑,중화,지구대,서울특별시 중랑구  중랑천로 146,중화지구대,37.597986994,127.072209306
서울청,서울중랑,용마,지구대,서울특별시 중랑구 동일로 566,용마지구대,37.580941846,127.079933663
서울청,서울중랑,봉화,지구대,서울특별시 중랑구  신내로 177,봉화지구대,37.614783734,127.095529458
서울청,서울중랑,면목본동,파출소,서울특별시 중랑구  상봉로 27,면목본동파출소,37.588195139,127.093886461
서울청,서울중랑,면목삼팔,파출소,서울특별시 중랑구  사가정로41길 45 (면목3.8파출소),면목삼팔파출소,37.583207772,127.084154822
서울청,서울중랑,상봉,파출소,서울특별시 중랑구  중랑천로 69 상봉파출소,상봉파출소,37.591324367,127.072849775
서울청,서울중랑,먹골,파출소,서울특별시 중랑구 숙선옹주로7길 1,먹골파출소,37.614624838,127.081532309
서울청,서울강남,역삼,지구대,서울특별시 강남구 영동대로112길 4,역삼지구대,37.514907710,127.060545898
서울청,서울강남,논현1,파출소,서울특별시 강남구 선릉로626,논현1파출소,37.512409366,127.043517873
서울청,서울강남,논현2,파출소,서울특별시 강남구  학동로95길 19,논현2파출소,37.520799021,127.054270655
서울청,서울강남,삼성1,파출소,서울특별시 강남구  도산대로 143,삼성1파출소,37.518371916,127.024133482
서울청,서울강남,삼성2,파출소,서울특별시 강남구  학동로169,삼성2파출소,37.513867672,127.029321527
서울청,서울강남,청담,파출소,서울특별시 강남구  학동로 227 논현2파출소,청담파출소,37.515206823,127.033844535
서울청,서울강남,신사,파출소,서울특별시 강남구 압구정로311,신사파출소,37.529349124,127.035609949
서울청,서울강남,압구정,파출소,서울특별시 강남구 테헤란로114길 11(강남경찰서),압구정파출소,37.509297413,127.066910555
서울청,서울관악,당곡,지구대,서울특별시 관악구  남부순환로191길 12 당곡지구대,당곡지구대,37.486006863,126.934364428
서울청,서울관악,낙성대,지구대,"서울특별시 관악구  봉천로 540, 낙성대지구대",낙성대지구대,37.478327838,126.957596052
서울청,서울관악,신림,지구대,서울특별시 관악구  남부순환로188길 12 신림지구대,신림지구대,37.484017169,126.933317889
서울청,서울관악,관악산,지구대,서울특별시 관악구  신림로 178 관악산지구대,관악산지구대,37.473821611,126.935202640
서울청,서울관악,구암,지구대,서울특별시 관악구 은천로 93,구암지구대,37.487352752,126.945428899
서울청,서울관악,남현,파출소,서울특별시 관악구  남현1가길 29 남현파출소,남현파출소,37.474557801,126.977870539
서울청,서울관악,난우,파출소,서울특별시 관악구  난곡로64 난우파출소,난우파출소,37.4596751,126.9166885
서울청,서울관악,미성,파출소,서울특별시 관악구  난곡로64가길 31,미성파출소,37.479917802,126.915615580
서울청,서울관악,신사,지구대,서울특별시 관악구  신사로 106,신사지구대,37.487298508,126.914204936
서울청,서울강서,화곡,지구대,서울특별시 강서구  화곡로 310,화곡지구대,37.5516875,126.8489381
서울청,서울강서,공항,지구대,서울특별시 강서구  방화동로 5 공항지구대,공항지구대,37.562368493,126.808278065
서울청,서울강서,까치산,지구대,서울특별시 강서구  강서로7길 39,까치산지구대,37.529352296,126.845560412
서울청,서울강서,가양,지구대,서울특별시 강서구 화곡로65길 63,가양지구대,37.559217896,126.850135475
서울청,서울강서,곰달래,지구대,서울특별시 강서구  곰달래로59길 12,곰달래지구대,37.532910531,126.863137933
서울청,서울강서,방화3,파출소,서울특별시 강서구  금낭화로26길 16,방화3파출소,37.579799343,126.814680029
서울청,서울강서,염창,지구대,서울특별시 강서구  공항대로59다길 80,염창지구대,37.551893623,126.867402592
서울청,서울강서,등촌2,파출소,서울특별시 강서구  등촌로 167 등촌2파출소,등촌2파출소,37.544792851,126.861866655
서울청,서울강서,발산,지구대,서울특별시 강서구  수명로2길 46 발산파출소,발산지구대,37.549394039,126.826052982
서울청,서울강서,화곡3,파출소,서울특별시 강서구  강서로45다길 71,화곡3파출소,37.544657345,126.835161934
서울청,서울강동,천호,지구대,"서울특별시 강동구  구천면로 141, 천호지구대",천호지구대,37.542576395,127.120764369
서울청,서울강동,길동,지구대,서울특별시 강동구 양재대로96길 35,길동지구대,37.529446861,127.139188789
서울청,서울강동,성내,지구대,서울특별시 강동구  성내로 57 성내지구대 ,성내지구대,37.530711090,127.127358821
서울청,서울강동,암사,지구대,서울특별시 강동구  고덕로 137 암사지구대,암사지구대,37.555001470,127.140795699
서울청,서울강동,둔촌,파출소,서울특별시 강동구  진황도로 239 둔촌파출소,둔촌파출소,37.525333836,127.145654307
서울청,서울강동,명일,파출소,서울특별시 강동구 동남로 895 명일파출소,명일파출소,37.553645236,127.156088337
서울청,서울강동,강일,파출소,서울특별시 강동구  아리수로91길 20,강일파출소,37.564865085,127.173225636
서울청,서울강동,고덕,파출소,서울특별시 강동구  고덕로 61길61,고덕파출소,37.557320364,127.151700138
서울청,서울강동,상일,파출소,서울특별시 강동구 고덕로 80길 7,상일파출소,37.556214789,127.165843965
