,자치구,안심 주소,CCTV 용도,WGS x좌표,WGS y좌표,CCTV 수량,수정 일시,geometry,outlier
10591,서초구,서울특별시 서초구 서초동 사임당로17길 60 진송빌딩,방범,37.4919636,127.0160471,1,2021-01-19,POINT (127.0160471 37.4919636),1
10592,서초구,서울특별시 서초구 서초동 사임당로17길 60 진송빌딩,방범,37.4919645,127.0160601,1,2021-01-19,POINT (127.0160601 37.4919645),1
10593,서초구,서울특별시 서초구 서초동 사임당로17길 60 진송빌딩,방범,37.49196629,127.0160713,1,2021-01-19,POINT (127.0160713 37.49196629),1
10594,서초구,서울특별시 서초구 방배동 동작대로 178 ,방범,37.49202111,126.9837024,1,2021-01-19,POINT (126.9837024 37.49202111),1
10595,서초구,서울특별시 서초구 방배동 동광로11길 19 ,방범,37.49214923,126.98519,1,2021-01-19,POINT (126.98519 37.49214923),1
10596,서초구,서울특별시 서초구 방배동 동광로11길 19 ,방범,37.49225099,126.9850553,1,2021-01-19,POINT (126.9850553 37.49225099),1
10597,서초구,서울특별시 서초구 방배동 동광로11길 19 ,방범,37.49225189,126.9850668,1,2021-01-19,POINT (126.9850668 37.49225189),1
10598,서초구,서울특별시 서초구 방배동 동광로15길 15 ,방범,37.49225916,126.9873937,1,2021-01-19,POINT (126.9873937 37.49225916),1
10599,서초구,서울특별시 서초구 방배동 동광로11길 19 ,방범,37.49226062,126.9850536,1,2021-01-19,POINT (126.9850536 37.49226062),1
10600,서초구,서울특별시 서초구 방배동 동광로15길 15 ,방범,37.49226342,126.9874035,1,2021-01-19,POINT (126.9874035 37.49226342),1
10601,서초구,서울특별시 서초구 방배동 동광로15길 15 ,방범,37.49227462,126.9873974,1,2021-01-19,POINT (126.9873974 37.49227462),1
10602,서초구,서울특별시 서초구 서초동 서초대로 270 서보빌딩,방범,37.49229332,127.0113758,1,2021-01-19,POINT (127.0113758 37.49229332),1
10603,서초구,서울특별시 서초구 서초동 서초대로 270 서보빌딩,방범,37.49230228,127.0113704,1,2021-01-19,POINT (127.0113704 37.49230228),1
10604,서초구,서울특별시 서초구 서초동 서초대로 270 서보빌딩,방범,37.49230564,127.011382,1,2021-01-19,POINT (127.011382 37.49230564),1
10605,서초구,서울특별시 서초구 서초동 사임당로23길 58 서초3차현대아파트,방범,37.49230752,127.0217502,1,2021-01-19,POINT (127.0217502 37.49230752),1
10606,서초구,서울특별시 서초구 서초동 서초대로 270 서보빌딩,방범,37.49231079,127.0113643,1,2021-01-19,POINT (127.0113643 37.49231079),1
10607,서초구,서울특별시 서초구 방배동 동광로1길 10 ,방범,37.49231536,126.9844127,1,2021-01-19,POINT (126.9844127 37.49231536),1
10608,서초구,서울특별시 서초구 서초동 사임당로23길 58 서초3차현대아파트,방범,37.4923181,127.021746,1,2021-01-19,POINT (127.021746 37.4923181),1
10609,서초구,서울특별시 서초구 서초동 서초중앙로20길 17 ,방범,37.49231856,127.0151908,1,2021-01-19,POINT (127.0151908 37.49231856),1
10610,서초구,서울특별시 서초구 서초동 서초중앙로20길 17 ,방범,37.49231968,127.0152061,1,2021-01-19,POINT (127.0152061 37.49231968),1
10611,서초구,서울특별시 서초구 서초동 서초중앙로20길 17 ,방범,37.49232841,127.0151886,1,2021-01-19,POINT (127.0151886 37.49232841),1
10612,서초구,서울특별시 서초구 서초동 사임당로23길 58 서초3차현대아파트,방범,37.49232953,127.0217432,1,2021-01-19,POINT (127.0217432 37.49232953),1
10613,서초구,방배4동 845-6,방범,37.49233719,126.9980651,1,2021-01-19,POINT (126.9980651 37.49233719),1
10614,서초구,서울특별시 서초구 방배동 방배로32길 49 서리풀 래디앙아파트,방범,37.49236135,126.9947016,1,2021-01-19,POINT (126.9947016 37.49236135),1
10615,서초구,서울특별시 서초구 방배동 방배로32길 49 서리풀 래디앙아파트,방범,37.49236493,126.9947123,1,2021-01-19,POINT (126.9947123 37.49236493),1
10616,서초구,서울특별시 서초구 방배동 방배로32길 49 서리풀 래디앙아파트,방범,37.49236852,126.9947241,1,2021-01-19,POINT (126.9947241 37.49236852),1
10617,서초구,서울특별시 서초구 방배동 방배로32길 49 서리풀 래디앙아파트,방범,37.49237389,126.994708,1,2021-01-19,POINT (126.994708 37.49237389),1
